log_id,timestamp,ip_address,http_method,endpoint,status_code,response_time_ms,user_agent
466941da-2a9f-411d-a52a-4348c7ff67fc,2026-04-06T01:19:35.863841,96.237.151.213,DELETE,blog/category/blog,500,1729,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/533.2.1 (KHTML, like Gecko) Version/5.0 Safari/533.2.1"
0279b7ed-433c-4aac-a9c1-f132648f9103,2026-04-18T09:58:38.745896,6.67.20.67,POST,posts,200,904,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/5.0)
58eb064f-ff3c-4baf-92cb-a99f5036c1fd,2026-04-14T12:34:56.673426,141.148.196.253,GET,search,403,1340,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8_2 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/59.0.805.0 Mobile/08L979 Safari/533.1"
bc5ebc84-1f2c-463d-bb38-0245166ec04d,2026-04-05T02:27:48.119537,129.248.60.1,GET,main,401,1424,"Mozilla/5.0 (iPad; CPU iPad OS 8_4_1 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/13.7u1472.0 Mobile/66G542 Safari/535.0"
f50970ef-2e52-4dab-9172-abe90e9d51fb,2026-04-08T08:25:01.740675,83.119.69.255,PUT,app/posts,500,1959,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_1) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/54.0.876.0 Safari/536.1"
c73ecdda-9d77-46e7-9b05-4ac362a4dd82,2026-04-14T00:31:00.535434,107.226.194.77,DELETE,categories/categories,400,1293,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; ast-ES) AppleWebKit/535.22.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6535.22.1"
543a2c58-19e8-4d64-81cc-1ebfd6570a40,2026-04-04T14:35:24.355034,147.169.250.28,DELETE,list,404,614,Opera/9.88.(X11; Linux i686; mi-NZ) Presto/2.9.169 Version/12.00
646e2581-eafd-4386-a4fc-0569af022b16,2026-04-11T06:49:28.439087,45.83.116.200,POST,blog,500,1095,Mozilla/5.0 (compatible; MSIE 7.0; Windows 95; Trident/5.0)
e3252dca-809f-46d6-aecb-792e79c58641,2026-04-12T05:33:38.487124,102.110.41.13,GET,wp-content/tag,401,1667,"Mozilla/5.0 (Linux; Android 2.2.2) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/46.0.899.0 Safari/536.1"
e98fe373-04e8-496e-b3e1-3178ba3750f7,2026-04-16T21:21:18.592107,72.94.163.221,PUT,posts,201,1693,Opera/8.75.(X11; Linux i686; tk-TM) Presto/2.9.176 Version/10.00
