shipment_id,timestamp,origin,destination,weight_kg,delivery_status,vehicle_type,estimated_delay_minutes
3ee6311c-298d-4456-a94f-eda7f882819a,2026-05-01T06:58:04.404981,da Paz,Cunha,49.41,CANCELLED,TRUCK,98
176f48db-1d55-428a-99a8-4475dd451af9,2026-05-01T06:32:41.676250,Fogaça do Campo,Pacheco,58.48,IN_TRANSIT,VAN,14
7a1d6874-7818-4ac6-9d61-f6aa06837483,2026-05-01T00:43:18.832323,Nascimento,das Neves,2.52,DELIVERED,AIRPLANE,58
db535bc0-d812-492d-a6ef-38f6605ffbad,2026-05-01T03:08:51.642226,Santos de Ferreira,Brito do Sul,84.99,DELIVERED,TRUCK,59
7c534235-8dcc-42bc-ab6b-a17577b9e202,2026-05-01T10:19:01.737062,Alves,Brito,12.75,IN_TRANSIT,MOTORCYCLE,25
50711c49-f71a-4b4d-9c72-6ab5a4c0f658,2026-05-01T08:11:58.085990,Pinto das Flores,Monteiro,43.48,IN_TRANSIT,MOTORCYCLE,86
755b2df4-d725-45f2-a7de-9f624c258425,2026-05-01T05:16:35.673546,Correia,das Neves do Campo,29.67,IN_TRANSIT,AIRPLANE,47
b474af15-1278-4b34-8533-39c4fa8abc03,2026-05-01T05:25:42.136772,Peixoto da Praia,Rodrigues das Flores,12.04,CANCELLED,MOTORCYCLE,60
20da8ec4-5e6d-42df-94cf-5bfbd82e0d0f,2026-05-01T04:43:50.219290,Martins,Sampaio Verde,27.0,IN_TRANSIT,AIRPLANE,100
47ac40d1-7167-4a8c-9a07-bd560c46e8af,2026-05-01T00:00:01.894453,Leão,Ribeiro,95.29,CANCELLED,VAN,52
1503d56e-0beb-40ca-83ad-6476edb87a0c,2026-05-01T00:16:08.317931,da Costa do Norte,Dias de Rodrigues,58.27,CANCELLED,VAN,109
2d5bc9f9-fd5e-406d-8566-3c9c1829ef54,2026-05-01T06:27:08.300749,Martins de Costa,Fernandes Paulista,61.68,CANCELLED,TRUCK,81
417211cf-dc45-406b-ba9c-84b3a2e2beba,2026-05-01T00:08:17.899292,Macedo,Pereira,36.62,DELIVERED,MOTORCYCLE,93
0cfb47f5-1882-4f59-b110-fed4308a8ccb,2026-05-01T06:52:05.401572,Duarte,Sampaio,14.71,IN_TRANSIT,AIRPLANE,80
5551ad2a-d9b6-4394-b790-55f324cb3434,2026-05-01T02:27:23.296196,Siqueira do Oeste,Ribeiro,66.62,DELIVERED,VAN,48
47743652-4fbf-43b1-89a9-8646208fa504,2026-05-01T00:36:41.479133,Pinto,Campos,11.97,IN_TRANSIT,VAN,53
4390fb48-446f-40a8-8ac4-d2c3b22abc16,2026-05-01T08:28:21.780526,Garcia,Teixeira,92.56,DELAYED,AIRPLANE,81
a5609372-b8f2-483c-b3b8-4d9c48e50d59,2026-05-01T05:38:04.801191,Cassiano,Novais de da Rosa,65.94,DELAYED,TRUCK,21
33436294-04b6-4771-8aac-7449afdf861a,2026-05-01T07:26:30.082367,Abreu de da Rocha,Melo de Barros,58.41,CANCELLED,TRUCK,78
5f0ad1c3-23e1-4b16-917f-35847547e287,2026-05-01T10:30:48.638200,Rodrigues do Sul,Lopes,12.72,DELIVERED,TRUCK,94
acd832a6-b8a1-438a-9ea3-7c2f5d0c9b5a,2026-05-01T08:13:16.622848,Costela,Campos do Amparo,76.74,IN_TRANSIT,TRUCK,2
e2221a87-4640-418a-a216-3b9077445390,2026-05-01T04:29:33.219718,Vieira,Pires,70.11,CANCELLED,AIRPLANE,62
0b7007b6-45b9-486a-9246-fc520c6cde0d,2026-05-01T09:25:58.016868,Porto,da Rosa do Campo,85.76,CANCELLED,VAN,120
33c4b4df-c32e-456d-b1d6-2ce6c880db46,2026-05-01T05:54:52.161588,Vargas da Praia,Cavalcante,90.93,DELIVERED,VAN,25
5d1a30ed-1367-4cd2-abc7-d09bef4b9830,2026-05-01T07:08:14.027717,Caldeira da Mata,Almeida,23.39,DELIVERED,VAN,54
7a9d4b5b-84ad-4e39-9177-42c9e623ae9e,2026-05-01T06:00:29.268974,Moraes Alegre,Costa,74.75,CANCELLED,MOTORCYCLE,73
c1cd51e1-0ec7-4828-96a8-ce0e6e0bedfc,2026-05-01T03:36:20.881357,Siqueira,Sampaio,54.21,CANCELLED,MOTORCYCLE,73
027a824e-88b1-4386-b8f4-185fb28ca639,2026-05-01T07:03:51.543743,Pacheco,Costela de Souza,9.26,CANCELLED,MOTORCYCLE,10
5308419a-2ffd-4666-a3e6-b690cdac47fb,2026-05-01T04:21:10.940622,Moraes,Marques,52.38,IN_TRANSIT,TRUCK,6
45c1db9d-6fd5-4762-a223-1aa16cda56f3,2026-05-01T01:07:42.319336,Moraes Verde,Moreira,95.17,DELIVERED,VAN,98
8cb8fc6e-8d14-4296-902a-2764d01bc133,2026-05-01T05:48:48.005000,Freitas de Albuquerque,Pastor Alegre,97.02,DELIVERED,AIRPLANE,55
c86ee61b-adb2-41a2-adf2-9416be36f172,2026-05-01T06:09:20.046969,Peixoto,Novaes do Campo,44.32,CANCELLED,VAN,11
654582a4-90a9-442c-a044-1c0def0f55f2,2026-05-01T00:17:41.000481,Garcia Verde,Abreu,41.53,CANCELLED,TRUCK,117
4b475b36-bb8c-4f27-aadb-81a7d15bd0f0,2026-05-01T06:26:26.108108,Costa,Rocha do Sul,38.82,CANCELLED,MOTORCYCLE,94
092b842b-a94a-43c8-b895-1f99f4034616,2026-05-01T06:51:37.467345,Moura do Norte,Albuquerque Alegre,27.7,DELIVERED,AIRPLANE,43
0502987b-1618-4afa-97f1-3ba1bc2e1b39,2026-05-01T04:13:10.901586,Campos da Serra,da Mata,50.84,IN_TRANSIT,AIRPLANE,11
45ab9a80-021d-4d3f-8536-a215ce838bea,2026-05-01T04:20:23.070282,Dias de das Neves,Montenegro Grande,54.17,DELIVERED,TRUCK,120
6cd96fe9-a113-45d4-b1bd-5cd77442d0e7,2026-05-01T06:25:28.652403,Moreira,Almeida Grande,61.04,DELAYED,VAN,9
11ede907-0504-42ba-8179-eff99e7655ee,2026-05-01T06:56:40.351657,Pinto,Pastor Alegre,59.77,DELAYED,AIRPLANE,68
757e5f7e-07a3-4718-8551-0d92eab4096b,2026-05-01T04:47:29.474450,Gonçalves,Cassiano do Sul,68.7,DELAYED,TRUCK,106
692850af-ae93-4c62-bec3-5fc1278684d2,2026-05-01T03:12:11.921439,Pacheco de Pinto,Siqueira das Flores,95.46,IN_TRANSIT,VAN,120
b41e3ff1-4eb3-4510-a586-ba38dd7f2921,2026-05-01T05:54:03.474097,Ramos de Cardoso,Araújo,73.11,CANCELLED,AIRPLANE,4
c9187780-a1b3-441c-84d0-4317cf0ad6df,2026-05-01T07:07:23.019398,Gonçalves,Teixeira do Amparo,99.86,CANCELLED,TRUCK,3
87b4ed9f-31ec-47b8-af7c-e6893f56f9bb,2026-05-01T01:46:58.612420,Gonçalves de da Conceição,Sampaio Alegre,60.9,DELIVERED,MOTORCYCLE,93
795c4e9e-ca07-4cb0-b657-2701f95e9d38,2026-05-01T04:50:46.032966,Porto de Minas,da Rocha do Norte,89.87,DELAYED,VAN,110
48b83a3a-5632-41cb-afe1-c002551d8f7b,2026-05-01T06:21:26.566962,Silveira,Azevedo,50.99,IN_TRANSIT,MOTORCYCLE,16
d4553a40-e18b-4dd5-bed8-83a4bc2165ca,2026-05-01T06:37:19.862032,Vieira dos Dourados,Pinto,0.57,DELIVERED,VAN,92
c765cb65-ef80-49a8-b5be-582ceb291b51,2026-05-01T02:35:45.945548,Mendonça do Sul,da Cruz,10.84,CANCELLED,MOTORCYCLE,52
84171eff-ca0e-485c-bb2a-b1f49dc9330b,2026-05-01T04:09:57.208823,Moraes Alegre,Rocha de Nunes,76.2,DELIVERED,AIRPLANE,33
f6cf51d0-cada-4caa-818c-15c17efdba2e,2026-05-01T03:08:23.337824,Almeida do Norte,Sá do Oeste,31.44,DELIVERED,VAN,100
fd227fc1-5748-4ca0-98e4-58b39ec35192,2026-05-01T05:35:34.407740,Vieira,Marques do Campo,66.72,IN_TRANSIT,AIRPLANE,61
9a05438e-8f84-4df1-bd71-0dbe84ea913e,2026-05-01T05:53:19.257089,Moreira da Serra,da Costa,60.19,IN_TRANSIT,VAN,81
820e3f83-deec-4a82-ab0d-67573cbefa4f,2026-05-01T06:03:44.952677,Correia,da Mota do Sul,64.41,CANCELLED,AIRPLANE,119
bb587f41-0a69-4867-965e-9d5529e1e9a4,2026-05-01T08:12:52.933899,Rodrigues das Flores,Aparecida de Minas,92.29,IN_TRANSIT,AIRPLANE,75
be9c73ab-3573-4c5f-b646-d008c03737eb,2026-05-01T00:03:43.406463,Nogueira da Praia,Borges,76.85,CANCELLED,TRUCK,27
e34ba287-e880-4026-a3c1-a09caac5456b,2026-05-01T04:21:48.329823,da Cunha Verde,Jesus,4.51,DELAYED,MOTORCYCLE,56
ec33cd33-a986-4ca0-a5fc-2d6e4ed47e43,2026-05-01T10:12:01.624169,Guerra da Mata,Jesus de Minas,65.38,DELAYED,TRUCK,18
9620cbc9-f44b-4ba4-85dd-4844cd84cda8,2026-05-01T01:41:27.174659,Gonçalves,Duarte,16.98,DELIVERED,VAN,22
76ebb408-d167-46f7-8f4c-476e33c7ff0a,2026-05-01T09:31:47.833627,Pereira,Castro do Norte,28.87,DELIVERED,MOTORCYCLE,13
7e17911e-baf8-493d-8716-2b0eb9655621,2026-05-01T08:04:24.251352,da Cruz,Alves,83.95,DELAYED,TRUCK,76
e40d989e-747d-455a-8f8d-bfabb2723533,2026-05-01T05:37:29.519764,Peixoto do Galho,Nunes,19.35,DELAYED,AIRPLANE,102
d280d896-1ca2-4df6-bc35-47c60a4c5e1f,2026-05-01T00:59:14.289100,das Neves,Cunha de Barros,31.72,DELIVERED,AIRPLANE,8
602056ea-bb5c-4a90-aa2a-78af1e80fd8f,2026-05-01T11:33:32.830495,Lima,Vieira de Nunes,34.82,IN_TRANSIT,VAN,69
f61a877e-8b3a-4983-9c7c-48718cbbf840,2026-05-01T05:35:47.234203,Aragão,Fernandes das Pedras,92.5,IN_TRANSIT,AIRPLANE,107
189cefd2-7d56-4ad9-8e18-e1643d674bce,2026-05-01T03:02:09.816956,Silveira,Cardoso,81.53,DELIVERED,MOTORCYCLE,40
5142da46-2cb4-4a08-abf9-95cd756970e0,2026-05-01T08:14:55.769183,Silveira Alegre,Farias do Campo,3.87,DELAYED,TRUCK,98
2d0dd2ab-4893-4d72-a3a8-a457559007b0,2026-05-01T04:04:11.214102,Rocha Paulista,Porto dos Dourados,87.71,DELAYED,TRUCK,30
b2fb9788-19e7-4ead-9916-0d5af49b5a84,2026-05-01T06:50:50.486041,Albuquerque do Norte,Barros,67.54,CANCELLED,TRUCK,51
134bc74c-3d7b-414c-a369-53a0631043d5,2026-05-01T03:58:22.734513,Pires de da Conceição,da Mota,62.06,DELAYED,TRUCK,54
3aaadb18-e5c6-4a1a-b5ff-2dae819a6599,2026-05-01T10:44:36.443407,Sousa,Cavalcante,15.73,CANCELLED,VAN,80
ca11ca7a-f50e-49d1-87ea-d9b7fb73a9e8,2026-05-01T03:47:25.022097,Marques,Cavalcante do Oeste,71.64,DELAYED,AIRPLANE,1
47476e31-d435-46fc-8d32-4a8f6a798140,2026-05-01T04:23:51.792735,Marques,Cavalcanti Alegre,78.91,DELIVERED,TRUCK,22
b7006639-63df-4270-aa19-3d64e203fc0f,2026-05-01T09:41:24.189679,Teixeira do Sul,Farias do Oeste,44.74,DELAYED,VAN,80
46197691-8cb7-45e2-bb30-e8106a950353,2026-05-01T00:53:54.954383,Albuquerque,da Mota da Praia,61.39,DELIVERED,TRUCK,85
