shipment_id,timestamp,origin,destination,weight_kg,delivery_status,vehicle_type,estimated_delay_minutes
0303b6d3-d722-476b-892c-5c5712b8e9ed,2026-05-01T12:02:18.542387,Brito dos Dourados,Sousa,91.69,IN_TRANSIT,AIRPLANE,1
e725731a-b84c-4dda-bf02-221249c8b2a8,2026-05-01T12:18:04.638485,Pires,Sales da Praia,27.55,DELIVERED,MOTORCYCLE,4
311b093b-72b2-4886-aa3d-e5869a92331c,2026-05-01T03:48:28.769409,da Mata de da Cruz,Alves,4.08,CANCELLED,TRUCK,14
9cdaba16-15e0-450f-934b-27f34ea0a444,2026-05-01T12:23:16.192091,Cavalcante,Abreu,10.89,IN_TRANSIT,MOTORCYCLE,120
7e60d71f-87e4-4ca1-bf7d-822bafa0c583,2026-05-01T04:25:06.846712,Jesus,Rezende de Cavalcante,70.96,IN_TRANSIT,AIRPLANE,67
d07c84a4-f4ad-48cc-9ca8-fcdb7a89ebde,2026-05-01T05:33:45.781206,Moreira de Goiás,da Rocha de Cunha,98.83,DELIVERED,TRUCK,34
22c4c2dd-ebc6-4278-b300-360e297c8869,2026-05-01T10:18:36.573955,Cunha,Dias do Galho,97.23,IN_TRANSIT,VAN,109
d298b6d5-e2bf-499b-8a76-f0bff3c01912,2026-05-01T03:58:42.066712,Vargas,Nascimento,71.81,DELAYED,AIRPLANE,119
1170b34d-5bc7-493c-9cdd-d133f341e622,2026-05-01T06:42:32.254511,da Rosa,Ferreira,4.99,IN_TRANSIT,AIRPLANE,64
f37a9aca-7374-4765-8db1-444acf402be5,2026-05-01T11:44:02.817880,Pimenta,Cunha,23.72,IN_TRANSIT,MOTORCYCLE,100
b9f81f3b-f556-4968-bbc8-9fc00ea7626f,2026-05-01T08:02:21.926412,Fogaça,Pacheco,36.72,DELIVERED,AIRPLANE,59
347402f0-726f-49f1-81d8-91ea8d56654d,2026-05-01T02:33:17.076888,Sampaio de Silveira,Gomes,60.96,DELIVERED,VAN,58
6f2fb1f3-ad4e-412c-8c7f-671a0bddad7e,2026-05-01T02:41:57.931937,Teixeira do Galho,Brito Verde,75.67,CANCELLED,MOTORCYCLE,25
8481baf3-1b32-4de8-8da8-a40819bda483,2026-05-01T05:06:29.153692,da Costa,Aragão,80.22,DELAYED,MOTORCYCLE,8
5abfdc7d-a3a7-41f4-8b8a-a866d77a2d29,2026-05-01T09:54:07.007300,Monteiro,Martins,3.37,IN_TRANSIT,VAN,14
